Concurso;Data do Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Ganhadores 6 acertos;Rateio 6 acertos;Ganhadores 5 acertos;Rateio 5 acertos;Ganhadores 4 acertos;Rateio 4 acertos;Acumulado 6 acertos;Arrecadação Total;Estimativa prêmio;Acumulado Sorteio Especial Mega da Virada
1;11031996;4;5;30;33;41;52;0;0;17;3,915,892.00;2016;33021;171,465,023.00;0;0;0
2;18031996;9;37;39;41;43;49;1;230,716,223.00;65;1,442,402.00;4488;20891;0;0;0;0
3;25031996;10;11;29;30;36;47;2;39,119,251.00;62;1,051,593.00;4261;15301;0;0;0;0
4;1041996;1;5;6;27;42;59;0;0;39;1,532,224.00;3311;18048;71,708,075.00;0;0;0
5;8041996;1;2;6;16;19;46;0;0;98;53,181.00;5399;9653;134,248,885.00;0;0;0
6;15041996;7;13;19;22;40;47;0;0;109;721,466.00;7147;11003;228,616,633.00;0;0;0
7;22041996;3;5;20;21;38;56;0;0;100;874,605.00;5736;15248;333,569,228.00;0;0;0
8;29041996;4;17;37;38;47;53;0;0;60;1,608,411.00;5262;1834;449,374,819.00;0;0;0
9;6051996;8;43;54;55;56;60;0;0;17;6,004,379.00;2175;46931;571,864,149.00;0;0;0
10;13051996;4;18;21;25;38;57;0;0;251;663,845.00;12590;13235;1,333,476,981.00;0;0;0
11;20051996;15;25;37;38;58;59;1;1,559,136,507.00;148;1,270,605.00;9442;19916;0;0;0;0
12;27051996;4;16;19;20;27;43;0;0;108;679,117.00;6454;11364;88,013,624.00;0;0;0
13;3061996;18;32;47;50;54;56;0;0;43;2,054,398.00;2934;30109;194,020,535.00;0;0;0
14;10061996;2;16;23;27;47;53;0;0;85;1,045,819.00;5323;167;300,694,132.00;0;0;0
15;17061996;12;33;35;51;52;60;0;0;57;1,791,989.00;3931;25984;423,266,135.00;0;0;0
16;24061996;20;32;34;49;58;60;0;0;31;3,330,713.00;3250;3177;547,168,662.00;0;0;0
17;1071996;6;10;13;19;20;51;1;678,986,908.00;144;762,837.00;9376;11716;0;0;0;0
18;8071996;23;27;36;37;42;56;0;0;52;1,376,352.00;4484;15961;85,884,348.00;0;0;0
19;15071996;5;10;12;24;25;60;0;0;159;538,014.00;9250;9248;1,050,626,673.00;0;0;0
20;22071996;11;25;28;30;33;51;0;0;72;1,548,697.00;5728;19467;1,184,434,083.00;0;0;0
21;29071996;6;33;36;46;49;53;0;0;63;1,769,419.00;5030;22162;1,318,202,144.00;0;0;0
22;5081996;1;9;31;38;46;56;0;0;47;272,129.00;4865;2629;1,471,682,884.00;0;0;0
23;12081996;17;37;39;51;52;59;0;0;74;2,019,846.00;4897;30523;16,510,452.00;0;0;0
24;19081996;1;8;14;28;33;43;1;1,866,167,961.00;227;789,731.00;13486;13293;0;0;0;0
25;25081996;24;43;50;54;55;56;0;0;28;263,385.00;2741;26906;8,849,735.00;0;0;0
26;1091996;10;22;50;53;57;58;0;0;16;5,247,374.00;1823;46055;18,924,693.00;0;0;0
27;8091996;13;17;20;33;44;51;0;0;99;930,624.00;6466;14249;299,805,068.00;0;0;0
28;15091996;3;6;22;24;54;60;0;0;50;1,974,922.00;4895;20173;418,300,348.00;0;0;0
29;22091996;3;8;14;43;56;58;1;54,017,936.00;44;2,308,315.00;5248;19353;0;0;0;0
30;29091996;7;14;15;29;38;50;0;0;80;1,134,774.00;5885;15426;101,275,208.00;0;0;0
31;6101996;17;19;28;45;48;56;0;0;103;879,304.00;5680;15945;1,121,434,046.00;0;0;0
32;13101996;5;14;33;36;43;44;0;0;96;1,143,091.00;6876;1596;1,253,118,183.00;0;0;0
33;20101996;5;17;33;39;42;49;1;1,399,741,074.00;128;954,576.00;8722;14009;0;0;0;0
34;27101996;13;15;17;40;53;57;0;0;51;1,360,406.00;2627;26411;8,325,682.00;0;0;0
35;3111996;4;16;21;23;54;57;0;0;39;2,005,118.00;3576;21868;177,096,349.00;0;0;0
36;10111996;3;13;17;25;29;51;0;0;143;623,812.00;8548;10436;284,142,578.00;0;0;0
37;17111996;6;7;22;38;52;60;0;0;47;1,684,861.00;3695;21432;379,168,726.00;0;0;0
38;24111996;10;42;43;45;54;55;0;0;24;388,631.00;1999;46659;491,094,453.00;0;0;0
39;1121996;12;16;37;45;52;56;0;0;73;1,345,905.00;4444;22109;1,345,611,133.00;0;0;0
40;8121996;3;5;8;12;46;47;0;0;189;778,993.00;12117;12151;1,522,286,704.00;0;0;0
41;15121996;12;26;35;38;39;47;1;170,192,385.00;148;101,147.00;10182;14703;0;0;0;0
42;22121996;7;11;19;24;33;36;0;0;201;368,464.00;9580;7731;88,873,502.00;0;0;0
43;29121996;2;6;17;25;26;58;0;0;75;973,803.00;5070;14406;176,515,722.00;0;0;0
44;5011997;14;18;29;38;44;47;0;0;103;709,932.00;7742;9445;264,263,314.00;0;0;0
45;12011997;7;30;37;44;53;55;0;0;33;2,720,147.00;3004;29882;371,981,146.00;0;0;0
46;19011997;1;23;24;32;46;60;0;0;91;998,242.00;6263;14504;480,989,156.00;0;0;0
47;26011997;3;17;25;35;48;56;0;0;210;445,844.00;10873;8594;593,341,851.00;0;0;0
48;2021997;2;5;28;34;47;50;0;0;132;748,295.00;7454;13225;711,871,738.00;0;0;0
49;9021997;7;13;33;35;43;55;1;840,515,676.00;155;691,634.00;9830;10885;0;0;0;0
50;16021997;6;16;21;44;57;58;0;0;31;2,524,125.00;2800;27891;891,783,039.00;0;0;0
51;23021997;17;23;24;25;42;47;0;0;143;723,147.00;9361;11025;1,015,874,973.00;0;0;0
52;2031997;15;30;38;46;58;59;0;0;77;1,554,423.00;6442;18543;1,159,503,671.00;0;0;0
53;9031997;3;13;16;38;42;46;0;0;210;633,779.00;10941;12141;1,319,215,946.00;0;0;0
54;16031997;5;9;18;21;36;56;2;746,965,399.00;207;703,361.00;13067;1112;0;0;0;0
55;23031997;2;14;23;29;38;52;0;0;66;1,081,763.00;3840;18556;85,675,639.00;0;0;0
56;30031997;2;7;20;35;51;59;0;0;48;121,422.00;2599;22381;155,614,746.00;0;0;0
57;6041997;7;16;17;27;34;59;0;0;79;106,991.00;6173;13665;25,704,218.00;0;0;0
58;13041997;12;27;30;37;44;49;1;363,130,491.00;65;1,360,107.00;5040;17506;0;0;0;0
59;20041997;2;8;13;28;34;54;0;0;90;731,234.00;5351;12275;78,973,342.00;0;0;0
60;27041997;3;14;15;20;21;38;0;0;129;711,147.00;7914;11569;947,824,926.00;0;0;0
61;4051997;8;18;29;42;44;59;0;0;52;1,890,294.00;3866;25376;1,065,779,245.00;0;0;0
62;11051997;6;8;13;24;31;52;0;0;119;99,687.00;8613;13746;1,208,132,345.00;0;0;0
63;18051997;9;25;26;40;41;49;1;1,368,001,957.00;82;1,624,691.00;6359;2091;0;0;0;0
64;25051997;8;12;23;50;54;60;0;0;29;2,330,996.00;2441;27638;81,118,658.00;0;0;0
65;1061997;1;5;20;25;32;34;0;0;61;1,154,237.00;4932;14248;165,608,809.00;0;0;0
66;8061997;12;13;15;26;33;48;0;0;102;805,425.00;7686;10668;264,192,781.00;0;0;0
67;15061997;12;14;17;27;47;52;0;0;83;1,061,725.00;5479;16052;369,940,644.00;0;0;0
68;22061997;1;3;12;13;53;59;0;0;49;1,849,673.00;4758;19011;478,701,446.00;0;0;0
69;29061997;25;34;45;53;56;58;0;0;55;1,727,148.00;3661;25896;592,693,193.00;0;0;0
70;6071997;17;23;27;40;43;58;0;0;95;1,289,952.00;6071;20146;1,488,384,929.00;0;0;0
71;13071997;16;27;33;43;45;53;0;0;115;1,245,174.00;7430;19235;1,660,218,845.00;0;0;0
72;20071997;1;19;34;43;44;48;0;0;85;1,967,633.00;7982;20913;1,860,917,426.00;0;0;0
73;27071997;25;26;28;45;51;57;1;210,265,754.00;95;2,120,527.00;8222;24452;0;0;0;0
74;3081997;2;24;34;37;38;50;0;0;40;1,825,768.00;3321;21948;87,636,871.00;0;0;0
75;10081997;21;24;35;36;37;49;0;0;70;1,239,502.00;5032;17209;191,755,002.00;0;0;0
76;17081997;8;17;18;23;33;53;0;0;92;1,024,761.00;6399;14704;304,888,614.00;0;0;0
77;24081997;21;29;40;49;54;57;0;0;20;4,964,881.00;2635;37609;42,404,576.00;0;0;0
78;31081997;12;22;25;31;32;46;0;0;103;990,736.00;5984;17019;546,500,639.00;0;0;0
79;7091997;2;13;17;25;31;43;1;677,060,175.00;247;440,485.00;13375;8118;0;0;0;0
80;14091997;23;28;37;40;48;51;0;0;43;26,443.00;4284;26489;1,095,370,753.00;0;0;0
81;21091997;10;23;41;47;54;60;0;0;62;1,945,315.00;4870;24717;1,240,102,168.00;0;0;0
82;28091997;15;18;29;36;51;53;1;1,387,782,602.00;77;1,598,273.00;5889;20857;0;0;0;0
83;5101997;4;15;16;24;42;57;0;0;76;940,843.00;4756;15004;85,804,893.00;0;0;0
84;12101997;4;6;10;25;34;40;0;0;102;753,968.00;5546;1384;17,809,058.00;0;0;0
85;19101997;6;15;30;37;45;47;0;0;45;1,727,925.00;4312;17996;271,398,486.00;0;0;0
86;26101997;6;21;22;34;36;54;0;0;48;1,675,296.00;3752;2139;367,895,517.00;0;0;0
87;2111997;4;5;11;28;32;40;0;0;64;126,966.00;5195;15611;465,405,386.00;0;0;0
88;9111997;4;18;29;37;43;45;0;0;110;796,582.00;6805;12851;570,554,099.00;0;0;0
89;16111997;13;34;42;44;55;59;0;0;36;24,246.00;3847;22645;675,296,826.00;0;0;0
90;23111997;9;21;26;40;52;54;1;1,576,430,087.00;74;1,858,449.00;4763;28817;0;0;0;0
91;30111997;2;4;10;35;39;60;0;0;68;95,888.00;3878;16781;78,244,593.00;0;0;0
92;7121997;1;3;5;23;24;51;0;0;75;979,264.00;5530;13256;166,378,345.00;0;0;0
93;14121997;2;22;28;31;36;53;0;0;61;1,236,931.00;3795;19844;256,921,731.00;0;0;0
94;21121997;8;18;28;51;52;55;0;0;25;3,145,749.00;2086;37626;351,294,216.00;0;0;0
95;28121997;6;40;45;46;50;60;0;0;22;3,080,789.00;2185;30958;432,627,055.00;0;0;0
96;4011998;4;7;26;40;42;58;1;521,856,247.00;62;1,199,317.00;3984;18627;0;0;0;0
97;11011998;5;11;14;35;53;56;1;72,793,266.00;56;1,083,233.00;3441;17594;0;0;0;0
98;18011998;13;14;31;33;35;43;0;0;89;650,888.00;4972;11628;69,514,905.00;0;0;0
99;25011998;11;24;30;33;46;60;0;0;46;1,403,792.00;3015;21376;147,004,196.00;0;0;0
100;1021998;14;29;30;46;48;51;0;0;56;1,593,048.00;3600;24732;858,512,947.00;0;0;0
101;8021998;1;18;29;31;37;39;0;0;52;2,058,941.00;4653;22964;986,990,865.00;0;0;0
102;15021998;19;20;37;42;44;56;1;1,133,662,688.00;73;1,674,336.00;6197;19685;0;0;0;0
103;22021998;1;7;9;49;54;57;1;69,698,424.00;28;2,074,358.00;2632;22024;0;0;0;0
104;1031998;1;4;13;21;38;52;0;0;37;1,400,633.00;2588;19985;62,188,072.00;0;0;0
105;8031998;3;13;31;43;46;49;0;0;55;1,182,408.00;4875;13314;140,226,988.00;0;0;0
106;15031998;5;16;24;35;38;39;0;0;94;767,827.00;5390;13365;226,837,866.00;9,795,278.00;3,000,000.00;0
107;22031998;2;4;16;24;51;52;0;0;35;2,149,423.00;3554;21126;317,113,601.00;0;0;0
108;29031998;21;24;29;34;59;60;0;0;35;2,251,172.00;2453;32057;411,662,849.00;0;0;0
109;4041998;1;13;44;48;49;54;0;0;39;211,533.00;3881;21215;1,152,367,738.00;0;0;0
110;11041998;18;31;43;52;57;58;0;0;35;2,777,148.00;3212;30201;1,269,007,916.00;0;0;0
111;18041998;4;22;25;32;33;52;0;0;68;1,808,294.00;6109;20088;1,416,564,719.00;0;0;0
112;25041998;12;20;34;37;42;43;1;1,580,257,993.00;137;995,701.00;8340;16325;0;0;0;0
113;2051998;7;26;28;34;54;55;0;0;38;1,426,955.00;2572;2104;6,506,914.00;0;0;0
114;9051998;6;12;18;37;47;54;0;0;71;962,608.00;4908;13899;147,083,369.00;0;0;0
115;16051998;4;6;14;20;24;38;0;0;78;92,831.00;5091;14195;233,973,179.00;0;0;0
116;23051998;5;13;32;36;42;51;0;0;64;1,195,628.00;5270;14491;325,797,362.00;10,384,878.00;4,200,000.00;0
117;30051998;20;25;27;33;42;53;0;0;36;2,204,687.00;3822;20726;421,039,841.00;0;0;0
118;6061998;9;22;25;37;56;57;0;0;53;1,605,288.00;4342;19556;523,136,136.00;0;0;0
119;13061998;1;21;36;38;47;50;0;0;21;3,892,116.00;2691;30313;1,320,622,591.00;0;0;0
120;20061998;3;16;27;40;45;46;0;0;92;1,302,097.00;7073;16904;146,437,407.00;0;0;0
121;27061998;2;29;41;44;53;55;0;0;45;28,917.00;4554;28517;1,620,525,833.00;0;0;0
122;4071998;11;17;20;39;43;53;0;0;83;1,821,045.00;7203;20943;1,801,901,895.00;0;0;0
123;11071998;13;14;16;26;32;42;0;0;176;1,244,056.00;13159;16606;2,064,646,528.00;0;0;0
124;18071998;5;15;34;41;52;57;1;2,453,628,872.00;188;1,724,212.00;14019;23076;0;0;0;0
125;25071998;25;41;47;53;56;59;0;0;46;1,542,568.00;2784;25438;85,149,747.00;0;0;0
126;1081998;6;10;11;28;32;40;0;0;83;1,005,256.00;5510;15113;185,273,183.00;0;0;0
127;8081998;21;29;50;51;54;59;0;0;40;2,363,847.00;2613;36114;298,737,817.00;0;0;0
128;15081998;3;9;18;21;23;43;0;0;973;102,441.00;11715;8491;41,834,835.00;0;0;0
129;22081998;1;9;10;32;46;54;0;0;67;1,563,441.00;5320;19651;5,440,490.00;0;0;0
130;29081998;13;29;38;42;49;53;0;0;155;1,179,624.00;11403;16003;1,881,495,831.00;0;0;0
131;5091998;4;9;17;27;30;44;0;0;361;681,167.00;21683;11319;2,176,577,449.00;0;0;0
132;12091998;7;9;35;41;44;50;0;0;143;2,084,664.00;12179;24429;2,534,305,789.00;0;0;0
133;19091998;5;6;19;34;39;57;1;3,053,324,112.00;431;1,003,516.00;29264;14751;0;0;0;0
134;26091998;4;25;32;36;52;60;0;0;82;1,025,338.00;4575;18342;100,893,239.00;0;0;0
135;3101998;21;22;35;40;53;59;0;0;40;2,457,318.00;3604;27219;218,844,472.00;0;0;0
136;10101998;1;17;25;38;45;59;0;0;126;843,536.00;7403;14329;346,387,117.00;0;0;0
137;17101998;15;16;19;22;26;49;0;0;88;1,267,549.00;6701;16613;480,240,293.00;0;0;0
138;24101998;5;14;27;37;40;41;0;0;86;1,407,436.00;6953;17374;62,548,768.00;0;0;0
139;31101998;3;13;26;27;41;42;2;390,248,614.00;179;721,646.00;9401;13714;0;0;0;0
140;7111998;7;31;41;44;46;55;0;0;45;3,658,133.00;4945;33224;1,645,362,831.00;0;0;0
141;14111998;10;13;22;41;42;58;0;0;119;201,061.00;10533;2267;193,247,789.00;0;0;0
142;21111998;8;15;19;20;54;59;0;0;162;1,814,356.00;13991;20966;2,285,188,724.00;0;0;0
143;28111998;6;18;20;40;50;53;0;0;144;2,479,299.00;10994;3241;2,713,611,588.00;0;0;0
144;5121998;8;32;36;44;45;55;1;3,359,775,521.00;257;2,095,214.00;23952;22438;0;0;0;0
145;12121998;15;16;31;41;43;51;0;0;71;1,506,127.00;3389;31491;128,322,059.00;0;0;0
146;19121998;25;32;34;42;51;60;0;0;51;2,392,345.00;4079;29852;274,733,581.00;0;0;0
147;24121998;6;16;23;24;28;38;1;380,575,038.00;75;1,176,017.00;5418;16248;0;0;0;0
148;31121998;32;35;41;55;58;59;0;0;15;5,366,004.00;2322;34595;96,588,061.00;0;0;0
149;9011999;7;11;20;28;45;48;0;0;106;979,513.00;6290;16474;221,182,094.00;0;0;0
150;16011999;12;44;50;52;54;55;0;0;56;3,637,871.00;5540;367;2,141,453,014.00;0;0;0
151;23011999;3;16;20;43;52;56;1;2,409,181,102.00;152;1,467,807.00;9869;22562;0;0;0;0
152;30011999;5;12;15;29;51;58;0;0;75;1,156,239.00;5041;17203;10,406,148.00;0;0;0
153;6021999;2;30;31;42;45;47;0;0;47;2,284,645.00;4218;25457;232,915,462.00;0;0;0
154;13021999;8;10;24;33;45;48;0;0;144;788,829.00;9252;12278;36,922,516.00;0;0;0
155;20021999;12;30;32;35;43;44;1;498,880,821.00;67;1,612,632.00;4974;21722;0;0;0;0
156;27021999;17;23;42;49;52;55;0;0;74;110,181.00;4455;18302;97,840,741.00;0;0;0
157;6031999;4;13;17;21;41;44;1;214,003,092.00;134;722,403.00;8894;10884;0;0;0;0
158;13031999;4;14;17;43;51;58;0;0;31;2,585,653.00;3630;22081;96,186,312.00;0;0;0
159;20031999;9;11;16;35;50;58;1;203,817,067.00;57;1,573,549.00;4124;21749;0;0;0;0
160;27031999;2;13;42;52;54;58;0;0;74;1,943,189.00;6132;2345;1,125,151,163.00;0;0;0
161;3041999;6;25;30;37;39;41;0;0;95;1,443,061.00;6865;19969;1,289,660,104.00;0;0;0
162;10041999;21;23;33;38;48;51;0;0;92;209,413.00;7244;26596;1,520,852,083.00;0;0;0
163;17041999;8;27;36;41;53;56;2;897,583,336.00;146;1,565,723.00;10793;2118;0;0;0;0
164;24041999;4;10;14;19;28;44;0;0;111;759,563.00;8386;10054;10,117,379.00;0;0;0
165;1051999;10;19;23;35;39;56;2;104,444,454.00;75;1,196,835.00;5378;16691;0;0;0;0
166;8051999;12;13;22;57;59;60;0;0;47;1,742,467.00;3371;24295;98,275,154.00;0;0;0
167;15051999;1;11;28;33;38;48;1;210,098,021.00;82;1,136,411.00;4997;18648;0;0;0;0
168;22051999;2;9;31;35;45;50;0;0;48;157,437.00;3528;2142;90,683,693.00;0;0;0
169;29051999;1;13;21;37;51;52;0;0;65;1,367,908.00;4489;19807;197,380,491.00;0;0;0
170;5061999;7;41;46;51;55;58;0;0;50;3,238,395.00;6257;25878;1,364,309,571.00;0;0;0
171;12061999;4;27;40;43;46;54;1;1,605,241,083.00;134;149,833.00;10378;19346;0;0;0;0
172;19061999;10;14;26;35;36;49;0;0;64;1,346,012.00;4592;18689;10,337,367.00;0;0;0
173;26061999;17;28;29;42;49;50;1;214,831,642.00;40;2,322,041.00;3610;25632;0;0;0;0
174;3071999;11;22;23;36;52;59;0;0;44;1,784,685.00;3217;24318;94,231,358.00;0;0;0
175;10071999;1;10;13;20;42;50;0;0;114;809,408.00;7058;13025;204,958,299.00;0;0;0
176;17071999;1;3;4;28;45;53;0;0;62;1,669,639.00;5405;1908;329,179,461.00;0;0;0
177;24071999;22;35;38;39;41;59;0;0;52;2,171,629.00;4408;25521;464,689,081.00;0;0;0
178;31071999;5;15;19;26;27;33;1;612,953,943.00;198;624,011.00;13086;9407;0;0;0;0
179;7081999;5;6;23;26;27;53;0;0;78;1,028,159.00;5646;14151;96,235,704.00;0;0;0
180;14081999;6;23;29;39;51;60;0;0;111;1,590,798.00;6978;25209;1,214,300,993.00;0;0;0
181;21081999;1;27;33;35;51;55;0;0;182;1,112,707.00;11797;17102;1,457,316,271.00;0;0;0
182;28081999;3;5;10;28;46;60;0;0;239;995,478.00;17413;13613;1,742,819,422.00;0;0;0
183;4091999;2;7;11;16;40;44;0;0;306;946,879.00;20677;1396;209,051,314.00;0;0;0
184;11091999;9;16;21;34;41;60;0;0;217;1,469,997.00;15462;20553;2,473,300,315.00;0;0;0
185;18091999;17;22;43;46;55;59;0;0;366;1,227,586.00;24849;18013;3,012,456,109.00;0;0;0
186;25091999;14;23;24;25;26;51;0;0;352;1,707,224.00;31164;1921;3,733,587,486.00;0;0;0
187;2101999;6;36;41;44;48;58;0;0;397;2,305,835.00;39365;23166;483,208,736.00;0;0;0
188;10101999;17;27;34;42;43;46;1;6,490,551,765.00;1200;1,151,711.00;90235;15258;0;0;0;0
189;16101999;4;15;31;38;41;53;0;0;61;2,347,618.00;5485;26009;171,845,625.00;0;0;0
190;24101999;5;10;21;32;40;42;0;0;304;1,492,396.00;21481;21041;4,489,598,805.00;0;0;0
191;31101999;1;3;5;23;41;58;1;5,096,841,258.00;383;1,321,241.00;30477;16541;0;0;0;0
192;6111999;1;26;28;41;54;60;0;0;53;2,300,508.00;4403;27587;146,312,278.00;0;0;0
193;13111999;4;11;12;19;43;49;0;0;190;719,987.00;11415;11939;310,469,258.00;0;0;0
194;20111999;25;28;32;33;42;43;0;0;106;128,624.00;7456;18218;474,078,992.00;0;0;0
195;27111999;3;9;17;32;37;44;1;637,025,064.00;339;400,556.00;13819;9789;0;0;0;0
196;4121999;7;9;14;17;24;32;0;0;182;530,916.00;10493;9175;115,952,095.00;0;0;0
197;11121999;5;12;15;19;29;52;0;0;128;825,915.00;8720;12078;242,812,598.00;0;0;0
198;18121999;1;8;18;23;35;40;0;0;125;888,102.00;7134;15502;376,027,808.00;0;0;0
199;24121999;10;16;37;50;52;57;1;49,155,932.00;34;2,831,655.00;3143;30516;0;0;0;0
200;31121999;12;15;19;34;44;51;2;88,293,892.00;186;1,100,848.00;13027;15659;0;0;0;0
201;8012000;5;20;22;30;35;55;1;103,837,394.00;77;1,123,781.00;4502;19148;0;0;0;0
202;15012000;12;24;44;45;49;53;0;0;65;1,241,265.00;4279;18785;96,818,682.00;0;0;0
203;22012000;11;19;29;44;47;55;0;0;63;1,409,933.00;5417;16336;203,409,614.00;0;0;0
204;29012000;29;31;39;41;51;58;0;0;32;3,022,185.00;2400;40143;319,461,519.00;0;0;0
205;5022000;26;32;40;43;46;54;1;449,033,949.00;71;1,520,803.00;6014;17886;0;0;0;0
206;12022000;18;20;26;34;51;56;0;0;43;1,776,934.00;3478;21886;91,689,774.00;0;0;0
207;19022000;3;7;19;24;53;55;0;0;90;966,376.00;6510;1331;196,058,304.00;0;0;0
208;26022000;15;23;24;25;47;57;0;0;72;1,267,918.00;5232;17383;305,606,434.00;0;0;0
209;4032000;13;21;26;32;41;52;0;0;81;1,234,982.00;5496;18132;425,646,694.00;0;0;0
210;11032000;20;32;37;38;48;58;0;0;29;4,672,117.00;3921;34424;1,404,387,883.00;0;0;0
211;18032000;10;20;33;40;45;50;0;0;164;1,088,027.00;16680;10658;1,618,511,503.00;0;0;0
212;25032000;6;15;29;45;57;59;0;0;147;1,331,879.00;9880;19742;1,853,454,853.00;0;0;0
213;1042000;3;9;23;30;32;35;3;708,919,454.00;312;729,977.00;18348;12366;0;0;0;0
214;8042000;6;12;30;31;35;50;0;0;54;1,557,804.00;3769;22235;100,945,663.00;0;0;0
215;15042000;7;28;37;46;53;58;0;0;78;120,784.00;4942;18992;213,999,441.00;0;0;0
216;22042000;14;18;30;35;42;59;4;80,105,755.00;91;974,575.00;5049;175;0;0;0;0
217;29042000;3;27;32;45;49;51;0;0;159;459,962.00;5820;12519;87,760,732.00;0;0;0
218;6052000;12;17;40;42;47;54;1;187,825,509.00;95;877,761.00;4679;17755;0;0;0;0
219;13052000;23;26;28;36;42;49;0;0;80;922,178.00;5139;14302;88,529,129.00;0;0;0
220;20052000;13;14;36;53;55;60;1;1,263,675,112.00;125;1,248,805.00;8067;19278;0;0;0;0
221;27052000;13;27;43;50;54;58;0;0;49;1,456,566.00;3793;18745;85,646,089.00;0;0;0
222;3062000;5;19;30;48;52;55;0;0;55;1,524,316.00;4462;18718;18,625,096.00;0;0;0
223;10062000;2;6;22;24;28;58;0;0;163;583,831.00;7780;12186;300,448,321.00;0;0;0
224;17062000;7;16;18;20;21;44;0;0;119;870,635.00;7185;14377;424,775,004.00;0;0;0
225;24062000;2;4;16;21;37;58;0;0;83;1,254,239.00;5517;18814;549,697,176.00;0;0;0
226;1072000;1;2;38;49;50;59;1;691,692,013.00;78;1,517,039.00;4123;28614;0;0;0;0
227;8072000;11;26;27;37;42;48;0;0;51;1,447,145.00;3648;20172;88,565,257.00;0;0;0
228;15072000;13;16;40;43;45;59;0;0;64;1,324,028.00;4497;18787;190,250,615.00;0;0;0
229;22072000;11;13;21;33;39;45;1;299,278,157.00;121;750,879.00;7685;11788;0;0;0;0
230;29072000;8;40;41;44;53;56;0;0;94;1,500,056.00;5820;24156;9,547,336.00;0;0;0
231;5082000;16;27;36;42;44;59;0;0;125;1,289,611.00;9458;16993;1,148,175,244.00;0;0;0
232;12082000;19;22;29;37;41;59;0;0;124;1,459,836.00;8807;20493;1,365,398,877.00;0;0;0
233;19082000;3;7;24;32;36;45;5;319,654,703.00;512;379,028.00;21452;902;0;0;0;0
234;26082000;15;25;41;42;45;54;0;0;39;1,936,991.00;3505;21489;90,651,163.00;0;0;0
235;2092000;2;22;29;31;41;55;0;0;52;1,660,449.00;3086;27896;194,263,163.00;0;0;0
236;9092000;10;25;50;52;57;60;0;0;76;1,219,795.00;4703;19653;305,508,491.00;0;0;0
237;16092000;7;31;36;45;56;57;0;0;54;1,989,675.00;4145;25844;434,439,418.00;0;0;0
238;23092000;9;13;15;37;41;42;4;142,947,611.00;188;608,825.00;10483;10886;0;0;0;0
239;30092000;6;21;33;44;46;47;1;86,618,332.00;30;2,406,065.00;3826;1881;0;0;0;0
240;7102000;25;28;38;41;57;59;0;0;103;1,520,074.00;6244;250;1,168,651,134.00;0;0;0
241;14102000;11;31;35;40;56;57;0;0;74;2,281,194.00;5485;30685;1,371,221,155.00;0;0;0
242;21102000;4;7;21;22;28;56;0;0;203;993,373.00;13497;14897;1,613,206,911.00;0;0;0
243;28102000;11;16;20;23;32;47;0;0;180;1,201,997.00;13705;1574;1,872,838,313.00;0;0;0
244;4112000;19;24;33;47;50;60;0;0;204;1,369,802.00;14735;18908;2,208,165,967.00;0;0;0
245;11112000;8;27;44;51;53;60;3;915,348,488.00;283;1,583,862.00;21593;20696;0;0;0;0
246;18112000;2;16;32;37;43;57;0;0;93;929,206.00;5429;15871;10,369,938.00;0;0;0
247;25112000;3;10;23;30;34;46;0;0;80;1,208,019.00;6425;14996;219,669,229.00;0;0;0
248;2122000;16;32;34;35;41;56;0;0;50;2,155,072.00;4862;22096;348,973,508.00;0;0;0
249;9122000;21;36;40;49;54;55;0;0;60;196,802.00;4247;27721;490,670,976.00;0;0;0
250;16122000;7;25;41;42;43;55;0;0;203;1,086,731.00;15545;1415;2,259,362,859.00;0;0;0
251;23122000;15;23;30;34;49;55;0;0;180;1,547,398.00;12813;21673;2,593,600,767.00;0;0;0
252;30122000;4;17;26;32;51;54;2;1,510,700,224.00;354;1,007,062.00;22122;16067;0;0;0;0
253;6012001;11;12;24;37;44;56;0;0;126;698,577.00;7260;12088;105,624,875.00;0;0;0
254;13012001;1;4;21;22;30;56;0;0;66;1,640,047.00;6381;16914;235,516,617.00;0;0;0
255;20012001;16;19;20;32;44;55;0;0;80;1,436,363.00;6812;16819;373,407,448.00;0;0;0
256;27012001;2;21;26;32;34;52;0;0;91;1,333,696.00;6319;19149;519,047,009.00;0;0;0
257;3022001;1;4;5;19;28;34;1;680,848,396.00;175;770,483.00;11706;11484;0;0;0;0
258;10022001;7;12;50;54;55;60;0;0;53;1,596,068.00;3615;2333;101,509,919.00;0;0;0
259;17022001;13;15;20;33;43;58;0;0;65;1,513,622.00;5581;17577;219,572,403.00;0;0;0
260;24022001;4;6;33;43;59;60;0;0;120;1,606,594.00;8956;21463;1,735,712,485.00;0;0;0
261;3032001;5;16;20;30;54;56;0;0;91;2,235,019.00;7281;27851;1,979,776,532.00;0;0;0
262;10032001;11;20;48;53;58;60;0;0;108;2,464,378.00;8838;30024;2,299,160,018.00;0;0;0
263;17032001;8;9;26;43;50;53;0;0;136;2,493,718.00;12752;26517;2,706,134,812.00;0;0;0
264;24032001;1;5;13;25;31;33;2;1,605,588,073.00;979;429,896.00;50364;8325;0;0;0;0
265;31032001;7;16;34;41;50;53;0;0;64;1,467,659.00;3855;24274;112,716,181.00;0;0;0
266;7042001;2;23;38;46;48;54;0;0;89;1,231,814.00;6687;16333;244,273,949.00;0;0;0
